未開社会において、身近な具体的対象にさまざまな意味を記号的に持たせること。レヴィ＝ストロースが『野生の思考』の中で提唱した概念で、トーテミズムにおいて貴族階層と平民階層をタカとカラスの対比で表す類。本来は片手間に行う手仕事を意味する。,ブリコラージュ,,
アメリカの女性人類学者ルース・ベネディクトの主著の一つ。第二次世界大戦下のアメリカの一連の戦時研究のなかから生まれた。直接現地調査ができなかったにもかかわらず、日本の文化を、内面に善悪の絶対の基準をもつ西洋の「罪の文化」とは対照的な、内面に確固たる基準を欠き、他者からの評価を基準として行動が律されている「恥の文化」として大胆に類型化した。,『菊と刀』,,
ポーランド生れのイギリスの人類学者。著書『西太平洋の遠洋航海者』の中でクラ交易について考察し、フィールドワークの方法論を確立した。,ブロニスワフ・マリノフスキ,,
都会の住民が農山村に滞在し，自然や文化を体験する旅行の形態。,グリーンツーリズム,,
第2次世界大戦後の経済発展を背景に、それまで富裕層に限られていた観光旅行が、幅広く大衆にまで拡大した現象。,マスツーリズム,,
障害者や高齢者など、移動やコミュニケーションにおける困難さに直面する人々のニーズに応えながら、誰もが旅を楽しめることを目指す取り組みのこと。,アクセシブル・ツーリズム,,
団体旅行やツアーで使われることを前提に旅行代理店が航空会社から割安で仕入れたチケットの価格。包括運賃とも。,IT運賃,,
航空事業やホテル事業などにおいてしばしばみられる、収益を増加させるための経営戦略の一つ。,イールド・マネジメント,,
海外の航空機が自国に到着した後、さらに第三国へ運航ができる権利のこと。シカゴ条約に基づく「空の自由」に盛り込まれた。,以遠権,,
企業や団体が自らの組織内に作った旅行会社のこと。旅行会社へ支払っていた出張旅費を内部に還流させ、社員のレジャー需要を取り込み、新たに雇用を確保することを目的に、主に1970年代後半から80年代にかけて作られた。,インハウス・エージェント,,
販売コンテストやキャンペーンでの成績優秀な社員や販売店などを対象に、企業が報奨として行う旅行のこと。,インセンティブ旅行,,
外国人が訪れてくる旅行のこと。これに対して、自国から海外に行くものは「アウトバウンド」とも呼ばれる。,インバウンド,,
海外旅行販売に欠かせない旅行先の知識にたけた人材を育成する制度。日本人に人気のある旅行先が８つのエリアに分けられており、その中から受講したいエリアを選び、観光地理、歴史、文化、自然、飲食、ショッピング、ビジネスなどに関するエリア特性や国・地域ごとの知識を習得する。,エリア・スペシャリスト,,
特定の観光地において、訪問客の著しい増加等が、地域住民の生活や自然環境、景観等に対して受忍限度を超える負の影響をもたらしたり、観光客の満足度を著しく低下させるような状況。,オーバーツーリズム,,
旅行業界において中間程度の混み具合の時期のこと。通常よりはやや混んでいるけれど、ピークというほどではない、という時期。,ショルダーシーズン,,
航空会社の路線や便数、乗り入れ企業、運賃など、航空協定で決める規制を撤廃（自由化）すること。自国の空港を広く開放することで、人・物の流通を促進し経済効果を高めようとする政策。,オープンスカイ,,
旅行先で実施される小旅行のこと。,オプショナルツアー,,
その土地に住んでいる、または移住した「定住人口」でなく、観光などで訪れた「交流人口」でもない、居住地と離れた地域を行き来して、地域の人々と多様に関わる人々のこと。,関係人口,,
1国内の2地点間の旅客または貨物の運送のこと。外国船・旅客によるものは原則として禁止されているが、EU圏内では航空自由化が実施されている。,カボタージュ,,
日本語が分からず困っている外国人に対し、自発的に通訳をかってでる個人のボランティア活動（善意通訳普及運動）のこと。,グッドウィルガイド,,
高級かつ魅力的なキャンプの雰囲気を味わえる施設のこと。,グランピング,,
ユダヤ教に則った食べ物に関する規定のこと。,コーシャ,,
一つの航空便に複数の航空会社の便名をつけ運航すること。座席の販売は複数の航空会社がそれぞれの便で行う。,コードシェア,,
